brandName,descriptionText,itemCondition,modelYear,manufacturer,fuelType,imageUrl,transmission,engineDisplacement,mileage,price,detailsUrl,adId
Toyota,Toyota Corolla 2012 for sale in Karachi,used,2012,Toyota,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/toyota-corolla-gli-vvti-2012-59861599.jpg,Manual,1300,100000,1900000,https://www.pakwheels.com/used-cars/toyota-corolla-2012-for-sale-in-karachi-5705409,5705409
Honda,Honda Civic 2015 for sale in Lahore,used,2015,Honda,Petrol,https://cache4.pakwheels.com/ad_pictures/5976/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2015-59768403.jpg,Automatic,1800,78000,2550000,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-lahore-5698729,5698729
Suzuki,Suzuki Alto 2021 for sale in Peshawar,used,2021,Suzuki,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/suzuki-alto-vxr-2-2021-59861560.jpg,Manual,660,10000,1655000,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-peshawar-5705408,5705408
FAW,FAW V2 2016 for sale in Lahore,used,2016,FAW,Petrol,https://cache4.pakwheels.com/ad_pictures/5976/faw-v2-vct-i-2016-59767865.jpg,Manual,1300,35000,1200000,https://www.pakwheels.com/used-cars/faw-v2-2016-for-sale-in-lahore-5698686,5698686
Suzuki,Suzuki Margalla 1993 for sale in Gujranwala,used,1993,Suzuki,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/suzuki-margalla-gl-5-1993-59861412.jpg,Manual,1300,197090,425000,https://www.pakwheels.com/used-cars/suzuki-margalla-1993-for-sale-in-gujranwala-5705407,5705407
Honda,Honda Civic 1996 for sale in Islamabad,used,1996,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/honda-civic-vti-1-6-1996-59861606.jpg,Manual,1600,3,850000,https://www.pakwheels.com/used-cars/honda-civic-1996-for-sale-in-islamabad-5705406,5705406
Toyota,Toyota Corolla 2014 for sale in Rawalpindi,used,2014,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/toyota-corolla-gli-vvti-automatic-2014-59861576.jpg,Automatic,1300,126000,2500000,https://www.pakwheels.com/used-cars/toyota-corolla-2014-for-sale-in-rawalpindi-5705405,5705405
Toyota,Toyota Corolla 2003 for sale in Islamabad,used,2003,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/toyota-corolla-se-saloon-2-2003-59861565.jpg,Manual,1600,85000,1750000,https://www.pakwheels.com/used-cars/toyota-corolla-2003-for-sale-in-islamabad-5705372,5705372
Toyota,Toyota Corolla 2021 for sale in Jhelum,used,2021,Toyota,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/toyota-corolla-2021-59861514.jpg,Automatic,1600,10,4250000,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-jhelum-5705401,5705401
Daihatsu,Daihatsu Cuore 2009 for sale in Sheikhupura,used,2009,Daihatsu,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/daihatsu-cuore-coure-cx-2009-59861661.jpg,Manual,800,67000,790000,https://www.pakwheels.com/used-cars/daihatsu-cuore-2009-for-sale-in-sheikhupura-5705403,5705403
Suzuki,Suzuki Alto 2011 for sale in Karachi,used,2011,Suzuki,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/suzuki-alto-vxr-2-2011-59861518.jpg,Manual,1000,76145,845000,https://www.pakwheels.com/used-cars/suzuki-alto-2011-for-sale-in-karachi-5705400,5705400
Mercedes Benz,Mercedes Benz E Class 2003 for sale in Sargodha,used,2003,Mercedes Benz,Petrol,https://cache1.pakwheels.com/ad_pictures/4965/mercedes-benz-e-class-e-200-2003-49658387.jpg,Automatic,1800,91400,2775000,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2003-for-sale-in-sargodha-4931704,4931704
Honda,Honda Civic 2021 for sale in Quetta,used,2021,Honda,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/honda-civic-oriel-1-8-i-vtec-cvt-2021-59861388.jpg,Automatic,1800,17500,4250000,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-quetta-5705399,5705399
Suzuki,Suzuki Khyber 1998 for sale in Lahore,used,1998,Suzuki,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/suzuki-khyber-ga-2-1998-59861545.jpg,Manual,1000,125000,365000,https://www.pakwheels.com/used-cars/suzuki-khyber-1998-for-sale-in-lahore-5705398,5705398
Suzuki,Suzuki Swift 2014 for sale in Karachi,used,2014,Suzuki,Petrol,https://cache3.pakwheels.com/ad_pictures/5986/suzuki-swift-1-3l-dlx-2014-59861690.jpg,Manual,1300,106136,1450000,https://www.pakwheels.com/used-cars/suzuki-swift-2014-for-sale-in-karachi-5705397,5705397
Suzuki,Suzuki Liana 2006 for sale in Swabi,used,2006,Suzuki,Petrol,https://cache2.pakwheels.com/ad_pictures/5986/suzuki-liana-rxi-1-3-manual-transmission-2006-59861407.jpg,Manual,1300,123,900000,https://www.pakwheels.com/used-cars/suzuki-liana-2006-for-sale-in-swabi-5705396,5705396
Toyota,Toyota Land Cruiser 2018 for sale in Islamabad,used,2018,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5986/toyota-land-cruiser-zx-2-2018-59861361.jpg,Automatic,4600,27000,38500000,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2018-for-sale-in-islamabad-5705395,5705395
Suzuki,Suzuki Mehran 2012 for sale in Sahiwal,used,2012,Suzuki,Petrol,https://cache1.pakwheels.com/ad_pictures/5986/suzuki-mehran-vx-2-2012-59861439.jpg,Manual,800,60000,460000,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-sahiwal-5705394,5705394
Toyota,Toyota Land Cruiser 2008 for sale in Lahore,used,2008,Toyota,Petrol,https://cache4.pakwheels.com/ad_pictures/5936/toyota-land-cruiser-ax-g-selection-2008-59365776.jpg,Automatic,4600,46500,16200000,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2008-for-sale-in-lahore-5669091,5669091
